Источник трафика;Площадка;Страна;Визиты;Посетители;Коэффициент отказов;Среднее время на сайте, сек;Целевые посетители (Переход в Telegram);Целевые посетители (Переход в WhatsApp);Целевые посетители (Автоцель: клик по email);Целевые посетители (Отправка формы (go to thank-you-page));Целевые посетители (Клик кнопки Звонок);Целевые посетители (Клик номера телефона (footer));Total goals;Junk source
Переходы по рекламе;com.barsstudios.swordplay;Узбекистан;1.0;1.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.basicgames.fashiontrends;Кыргызстан;1.0;1.0;0.0;29.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.bbg.drwaonepuzzle.drawline.braingames.brainpuzzle.braintest;Кыргызстан;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.bbg.one.line.puzzle.games;;1.0;1.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.bbg.one.line.puzzle.games;Узбекистан;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.beatmicracing.ru;Казахстан;1.0;1.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.beatrider.neon.rush;Казахстан;1.0;1.0;0.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.bek.ertak;Узбекистан;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.bek.khobrav;Таджикистан;1.0;1.0;0.0;37.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;ok
Переходы по рекламе;com.bellapps.drinkcocktail;Казахстан;1.0;1.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.bestdressupgames.makeover.huawei;Казахстан;1.0;1.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.bigc.daily.jigsaw.puzzles.huawei;;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.bigcake.android.bpdaily;Кыргызстан;1.0;1.0;0.0;20.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;ok
Переходы по рекламе;com.bigcake.android.bpdaily.huawei;Таджикистан;1.0;1.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.bigcake.mahjongmatch.huawei;Казахстан;1.0;1.0;0.0;95.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;com.blackout.bubble;Казахстан;1.0;1.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.block.juggle;Абхазия;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;com.block.puzzle.game.hippo.uc;;1.0;1.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.blockpuzzle.us.ios;Армения;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;com.blossom.tile.match.puzzle;;1.0;1.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.bob.tallking.game;Казахстан;1.0;1.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.bottleflip.ru;Казахстан;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.brain.logic.joygame;Казахстан;1.0;1.0;0.0;65.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;com.bravestars.hair.salon.beauty;;1.0;1.0;0.0;908.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;com.bravestars.hair.salon.beauty;Таджикистан;1.0;1.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;com.bravestars.hair.salon.beauty;Узбекистан;1.0;1.0;0.0;33.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;com.bubble.shooter.boom.star.games;Беларусь;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.bubble.tea.simulator.games;;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.bubblepop.frenzy.shooter.free.puzzlegame;Азербайджан;1.0;1.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
